File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_05.c,74,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_05.c,75,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_05.c,107,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_05.c,108,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_06.c,35,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_06.c,73,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_06.c,74,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_06.c,106,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_06.c,107,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_07.c,35,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_07.c,73,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_07.c,74,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_07.c,106,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_07.c,107,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_08.c,43,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_08.c,81,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_08.c,82,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_08.c,114,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_08.c,115,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_09.c,30,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_09.c,68,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_09.c,69,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_09.c,101,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_09.c,102,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_10.c,30,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_10.c,68,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_10.c,69,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_10.c,101,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
